Client_ID	Покупатель	Contractor_name
CL_01	"ООО ""Положение"" ИНН 7896913934"	"ООО ""Положение"" ИНН 7896913934 ЮРЛИЦО №1"
CL_10001	"ООО ""Решительная скорость"" ИНН 96234274341"	"ООО ""Решительная скорость"" ИНН 96234274341 ЮРЛИЦО №1"
CL_1001	"ООО ""Управление"" ИНН 66912194025"	"ООО ""Управление"" ИНН 66912194025 ЮРЛИЦО №1"
CL_10011	"ПАО ""Час"" ИНН 13746866995"	"ПАО ""Час"" ИНН 13746866995 ЮРЛИЦО №1"
CL_10021	"ООО ""Зал"" ИНН 84426324283"	"ООО ""Зал"" ИНН 84426324283 ЮРЛИЦО №1"
CL_10031	"ООО ""Фактор"" ИНН 84921320774"	"ООО ""Фактор"" ИНН 84921320774 ЮРЛИЦО №1"
CL_10041	"ООО ""Правительство"" ИНН 39913231628"	"ООО ""Правительство"" ИНН 39913231628 ЮРЛИЦО №1"
CL_10041	"ООО ""Правительство"" ИНН 39913231628"	"ООО ""Правительство"" ИНН 39913231628 ЮРЛИЦО №3"
CL_10041	"ООО ""Правительство"" ИНН 39913231628"	"ООО ""Правительство"" ИНН 39913231628 ЮРЛИЦО №4"
CL_10051	"ПАО ""Массовый круг"" ИНН 61958913507"	"ПАО ""Массовый круг"" ИНН 61958913507 ЮРЛИЦО №1"
CL_10061	"ООО ""Наибольшое право"" ИНН 7940585529"	"ООО ""Наибольшое право"" ИНН 7940585529 ЮРЛИЦО №1"
CL_10071	"ООО ""Принцип"" ИНН 80799798921"	"ООО ""Принцип"" ИНН 80799798921 ЮРЛИЦО №1"
CL_10071	"ООО ""Принцип"" ИНН 80799798921"	"ООО ""Принцип"" ИНН 80799798921 ЮРЛИЦО №4"
CL_10081	"ООО ""Ослепительная мысль"" ИНН 5311448154"	"ООО ""Ослепительная мысль"" ИНН 5311448154 ЮРЛИЦО №1"
CL_10091	"ООО ""Отличный берег"" ИНН 82255220459"	"ООО ""Отличный берег"" ИНН 82255220459 ЮРЛИЦО №1"
CL_101	"ООО ""Статус"" ИНН 62137338446"	"ООО ""Статус"" ИНН 62137338446 ЮРЛИЦО №1"
CL_101	"ООО ""Статус"" ИНН 62137338446"	"ООО ""Статус"" ИНН 62137338446 ЮРЛИЦО №3"
