Product_key	Название товара	Название бренда	Группа товара
1_1_1	Кисть колонок круглая d=0,5мм L=6мм сер.2110 №0	Живописные кисти	Кисти-Акварель-Колонок-Соболь
2_1_1	Кисть колонок круглая d=1,0мм L=8мм сер.2110 №01	Живописные кисти	Кисти-Акварель-Колонок-Соболь
3_1_1	Кисть колонок круглая d=3,0мм L=15мм сер.2110 №03	Живописные кисти	Кисти-Акварель-Колонок-Соболь
4_1_2	Кисть колонок круглая пучок: диам.=0,40мм, дл.=1,90мм, серия 1052 №04	Живописные кисти	Кисти-Масло-Колонок
5_2_3	"Кисть синтетика круглая ""Вернисаж"" серия 211 №04"	Гамма	Кисти-Масло-Синтетика
6_2_4	"Кисть синтетика круглая ""Модерн-0"" серия 251 №02"	Гамма	Кисти-Акварель-Синтетика
7_2_4	"Кисть синтетика круглая ""Модерн-3"" серия 241 №03"	Гамма	Кисти-Акварель-Синтетика
8_3_5	"Кисть синтетика круглая ""Сонет"", коротк. лаков. ручка,  №1"	Сонет	z-Уценка
9_1_4	Кисть синтетика круглая серия 2210 №0	Живописные кисти	Кисти-Акварель-Синтетика
10_2_3	"Кисть синтетика плоская ""Модерн-0"" серия 254 №10"	Гамма	Кисти-Масло-Синтетика
11_2_3	"Кисть синтетика плоская ""Модерн-3"" серия 244 №02"	Гамма	Кисти-Масло-Синтетика
12_2_3	"Кисть синтетика плоская b=2,70мм L=13мм ""Вернисаж"" серия 215 №04"	Гамма	Кисти-Масло-Синтетика
13_2_3	"Кисть синтетика плоская b=3,40мм L=16мм ""Вернисаж"" серия 215 №06"	Гамма	Кисти-Масло-Синтетика
14_2_3	"Кисть синтетика плоская b=4,40мм L=19мм ""Вернисаж"" серия 215 №08"	Гамма	Кисти-Масло-Синтетика
15_4_6	Рама со стеклом 40х50см (Б139), профиль прямой, пластик цв. коричневый	Двуреченский	Подрамники, рамы-рамы-окрашенные со стеклом
16_5_7	Бумага декоративная, 500х700мм, 130г/кв.м, золото	Folia Bringmann	z-Неликвиды прочие
17_5_7	Бумага декоративная, 500х700мм, 130г/кв.м, серебро	Folia Bringmann	z-Неликвиды прочие
18_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" аметист (№006)"	Daler-rowney	Бумага пастель-листы-стандарт
19_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" васильковый (№009)"	Daler-rowney	Бумага пастель-листы-стандарт
20_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" каменный (№031)"	Daler-rowney	Бумага пастель-листы-стандарт
21_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" мускатный орех (№026)"	Daler-rowney	Бумага пастель-листы-стандарт
22_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" овсяная мука (№023)"	Daler-rowney	Бумага пастель-листы-стандарт
23_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" персиковый палевый (№019)"	Daler-rowney	Бумага пастель-листы-стандарт
24_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" серо-розовый (№030)"	Daler-rowney	Бумага пастель-листы-стандарт
25_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" синий сумеречный (№012)"	Daler-rowney	Бумага пастель-листы-стандарт
